model,roc_mean,roc_median,roc_sd,roc_mad,resistance,matching,outcome
all_log,0.58,0.59,0.04,0.04,sensitive,unmatched,baseline_sputum
all_log,0.68,0.67,0.09,0.04,sensitive,unmatched,treatment
all_rand,0.63,0.61,0.06,0.05,sensitive,unmatched,baseline_sputum
all_rand,0.67,0.67,0.11,0.09,sensitive,unmatched,treatment
timika_log,0.63,0.63,0.03,0.05,sensitive,unmatched,baseline_sputum
timika_log,0.61,0.58,0.07,0.05,sensitive,unmatched,treatment
timika_plus_log,0.62,0.62,0.03,0.03,sensitive,unmatched,baseline_sputum
timika_plus_log,0.67,0.69,0.08,0.05,sensitive,unmatched,treatment
timika_plus_rand,0.61,0.62,0.02,0.02,sensitive,unmatched,baseline_sputum
timika_plus_rand,0.64,0.66,0.08,0.07,sensitive,unmatched,treatment
timika_rand,0.61,0.6,0.05,0.01,sensitive,unmatched,baseline_sputum
timika_rand,0.63,0.61,0.08,0.09,sensitive,unmatched,treatment
all_log,0.67,0.68,0.06,0.06,mdr,unmatched,baseline_sputum
all_log,0.64,0.64,0.06,0.08,mdr,unmatched,treatment
all_rand,0.69,0.67,0.07,0.07,mdr,unmatched,baseline_sputum
all_rand,0.61,0.6,0.05,0.05,mdr,unmatched,treatment
timika_log,0.68,0.71,0.07,0.04,mdr,unmatched,baseline_sputum
timika_log,0.61,0.59,0.07,0.07,mdr,unmatched,treatment
timika_plus_log,0.67,0.7,0.07,0.04,mdr,unmatched,baseline_sputum
timika_plus_log,0.6,0.59,0.07,0.05,mdr,unmatched,treatment
timika_plus_rand,0.67,0.69,0.06,0.03,mdr,unmatched,baseline_sputum
timika_plus_rand,0.58,0.58,0.05,0.06,mdr,unmatched,treatment
timika_rand,0.64,0.66,0.06,0.05,mdr,unmatched,baseline_sputum
timika_rand,0.6,0.58,0.07,0.03,mdr,unmatched,treatment
all_log,0.62,0.63,0.08,0.07,sensitive,matched,baseline_sputum
all_log,0.7,0.7,0.1,0.06,sensitive,matched,treatment
all_rand,0.64,0.62,0.05,0.02,sensitive,matched,baseline_sputum
all_rand,0.71,0.72,0.1,0.08,sensitive,matched,treatment
timika_log,0.65,0.66,0.04,0.04,sensitive,matched,baseline_sputum
timika_log,0.62,0.62,0.14,0.11,sensitive,matched,treatment
timika_plus_log,0.64,0.66,0.04,0.05,sensitive,matched,baseline_sputum
timika_plus_log,0.69,0.69,0.12,0.05,sensitive,matched,treatment
timika_plus_rand,0.64,0.63,0.03,0.04,sensitive,matched,baseline_sputum
timika_plus_rand,0.63,0.61,0.1,0.1,sensitive,matched,treatment
timika_rand,0.62,0.62,0.04,0.04,sensitive,matched,baseline_sputum
timika_rand,0.63,0.62,0.15,0.09,sensitive,matched,treatment
all_log,0.71,0.71,0.07,0.05,mdr,matched,baseline_sputum
all_log,0.59,0.58,0.12,0.16,mdr,matched,treatment
all_rand,0.69,0.72,0.07,0.05,mdr,matched,baseline_sputum
all_rand,0.58,0.58,0.07,0.07,mdr,matched,treatment
timika_log,0.71,0.72,0.08,0.1,mdr,matched,baseline_sputum
timika_log,0.59,0.57,0.11,0.14,mdr,matched,treatment
timika_plus_log,0.69,0.68,0.07,0.06,mdr,matched,baseline_sputum
timika_plus_log,0.55,0.54,0.13,0.18,mdr,matched,treatment
timika_plus_rand,0.68,0.65,0.1,0.08,mdr,matched,baseline_sputum
timika_plus_rand,0.57,0.58,0.09,0.11,mdr,matched,treatment
timika_rand,0.66,0.66,0.1,0.1,mdr,matched,baseline_sputum
timika_rand,0.57,0.56,0.09,0.07,mdr,matched,treatment
